epoch,step,layer,expert,count
9,0,1,7,792
11,0,0,7,0
11,0,0,0,0
11,0,0,1,40
11,0,0,2,0
11,0,0,3,0
11,0,0,4,780
11,0,0,5,785
11,0,0,6,447
11,0,1,3,402
11,0,1,4,0
11,0,1,5,15
11,0,1,6,611
11,0,1,7,789
11,0,1,0,0
11,0,1,1,0
11,0,1,2,0
7,7,0,7,0
7,7,0,0,100
7,7,0,1,701
7,7,0,2,366
7,7,0,3,12
7,7,0,4,799
7,7,0,5,0
7,7,0,6,2
7,7,1,0,2
7,7,1,1,797
7,7,1,2,0
7,7,1,3,80
7,7,1,4,164
7,7,1,5,386
7,7,1,6,582
7,7,1,7,218
10,0,0,0,0
10,0,0,1,0
10,0,0,2,792
10,0,0,3,21
10,0,0,4,0
10,0,0,5,0
10,0,0,6,0
10,0,0,7,126
10,0,1,5,0
10,0,1,6,246
10,0,1,7,792
10,0,1,0,14
10,0,1,1,402
10,0,1,2,24
10,0,1,3,0
10,0,1,4,202
12,0,0,3,0
12,0,0,4,780
12,0,0,5,785
12,0,0,6,447
12,0,0,7,0
12,0,0,0,0
12,0,0,1,40
12,0,0,2,0
12,0,1,3,688
12,0,1,4,15
12,0,1,5,11
12,0,1,6,509
12,0,1,7,789
12,0,1,0,0
12,0,1,1,0
12,0,1,2,0
8,8,0,0,108
8,8,0,1,706
8,8,0,2,370
8,8,0,3,13
8,8,0,4,799
8,8,0,5,0
8,8,0,6,3
8,8,0,7,0
8,8,1,7,21
8,8,1,0,1
8,8,1,1,799
8,8,1,2,0
8,8,1,3,84
8,8,1,4,164
8,8,1,5,378
8,8,1,6,689
11,0,0,7,126
11,0,0,0,0
11,0,0,1,0
11,0,0,2,792
11,0,0,3,21
11,0,0,4,0
11,0,0,5,0
11,0,0,6,0
11,0,1,6,246
11,0,1,7,792
11,0,1,0,14
11,0,1,1,402
11,0,1,2,24
11,0,1,3,0
11,0,1,4,202
11,0,1,5,0
13,0,0,1,40
13,0,0,2,0
13,0,0,3,0
13,0,0,4,780
13,0,0,5,785
13,0,0,6,447
13,0,0,7,0
13,0,0,0,0
13,0,1,1,0
13,0,1,2,0
13,0,1,3,688
13,0,1,4,15
13,0,1,5,11
13,0,1,6,509
13,0,1,7,789
13,0,1,0,0
9,9,0,3,12
9,9,0,4,799
9,9,0,5,0
9,9,0,6,4
9,9,0,7,0
9,9,0,0,123
9,9,0,1,717
9,9,0,2,372
9,9,1,1,799
9,9,1,2,0
9,9,1,3,80
9,9,1,4,164
9,9,1,5,324
9,9,1,6,704
9,9,1,7,21
9,9,1,0,2
14,0,0,1,40
14,0,0,2,0
14,0,0,3,0
14,0,0,4,780
14,0,0,5,785
14,0,0,6,447
14,0,0,7,0
14,0,0,0,0
14,0,1,0,0
14,0,1,1,0
14,0,1,2,0
14,0,1,3,591
14,0,1,4,3
14,0,1,5,11
14,0,1,6,570
14,0,1,7,789
15,0,0,3,0
15,0,0,4,780
15,0,0,5,785
15,0,0,6,447
15,0,0,7,0
15,0,0,0,0
15,0,0,1,40
15,0,0,2,0
15,0,1,0,0
15,0,1,1,0
15,0,1,2,0
15,0,1,3,591
15,0,1,4,3
15,0,1,5,11
15,0,1,6,570
15,0,1,7,789
16,0,0,0,0
16,0,0,1,40
16,0,0,2,0
