2026/04/12 13:30:58 main.go:26: Initializing MoE Model [Dim=256, Experts=8, K=2, Batch=256, Prefetch=4]
2026/04/12 13:30:58 main.go:48: --- 🚀 Starting Gollemer Training (Goroutine-pipelined) ---
Epoch 10500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 10600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 10700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 10800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 10900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 11000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2431 samples/sec
Epoch 11100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 11200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 11300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 11400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 11500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 11600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 11700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 11800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 11900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 12000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 12100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 12200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 12300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 12400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 12500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 12600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 12700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 12800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2433 samples/sec
Epoch 12900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 13000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 13100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 13200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 13300 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 13400 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 13500 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 13600 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 13700 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 13800 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 13900 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 14000 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 14100 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
Epoch 14200 | Loss: 0.000000 | Batch Size: 256 | Throughput: 2432 samples/sec
